household_id,region_type,gender,age,education_years,household_size,income,land_ownership,shg_membership,wellbeing_score
HH1138,Urban,Male,48,3,7,,Yes,No,73.5
HH1139,Rural,Female,35,4,6,20509.0,No,No,46.4
HH1140,Rural,Male,38,4,7,19794.0,No,Yes,43.4
HH1141,Rural,Female,52,8,4,32770.0,No,Yes,44.3
HH1142,Urban,Female,54,7,3,53018.0,No,No,71.8
HH1143,Rural,Male,40,8,4,8080.0,No,Yes,43.8
HH1144,Rural,Female,59,7,5,11620.0,Yes,No,36.9
HH1145,Rural,Female,61,10,5,39398.0,Yes,No,64.9
HH1146,Rural,Female,65,4,6,16525.0,Yes,No,40.3
HH1147,Rural,Male,54,8,4,64050.0,Yes,No,64.8
HH1148,Rural,Male,64,2,5,14221.0,No,No,46.9
HH1149,Rural,Male,25,10,3,12110.0,Yes,No,40.6
HH1150,Urban,Male,44,9,5,18186.0,No,Yes,63.3
HH1151,Urban,Male,37,9,5,10337.0,Yes,No,34.6
HH1152,Rural,Male,49,7,3,25772.0,Yes,Yes,54.2
HH1153,Rural,Male,41,2,4,15248.0,No,No,59.5
HH1154,Rural,Male,46,7,4,23210.0,Yes,No,64.0
HH1155,Urban,Male,70,14,4,114598.0,Yes,Yes,85.8
HH1156,Rural,Male,45,7,7,56669.0,Yes,No,55.2
HH1157,Urban,Female,52,5,4,26163.0,No,No,50.1
HH1158,Urban,Male,45,11,4,12730.0,No,Yes,54.4
HH1159,Urban,Male,48,13,1,65206.0,No,No,78.7
HH1160,Rural,Female,48,0,3,26141.0,Yes,No,49.2
HH1161,Urban,Male,53,8,4,52364.0,Yes,Yes,68.2
HH1162,Rural,Male,61,10,3,46893.0,No,Yes,68.8
HH1163,Rural,Male,67,8,7,12774.0,No,Yes,35.4
HH1164,Rural,Male,51,8,4,73176.0,No,No,66.6
HH1165,Rural,Male,55,13,7,19305.0,No,Yes,65.1
HH1166,Urban,Male,34,13,5,70114.0,No,Yes,65.6
HH1167,Urban,Male,46,13,5,23571.0,Yes,Yes,61.2
HH1168,Rural,Male,59,15,4,28400.0,Yes,Yes,61.9
HH1169,Urban,Female,58,8,5,79206.0,No,No,71.4
HH1170,Rural,Male,50,5,7,22523.0,Yes,Yes,47.7
HH1171,Rural,Male,58,8,1,38475.0,No,No,78.0
HH1172,Rural,Male,53,8,1,27615.0,No,No,66.0
HH1173,Urban,Male,62,9,4,34478.0,No,No,51.8
HH1174,Rural,Male,51,4,5,40373.0,No,Yes,64.9
HH1175,Rural,Male,43,13,6,28728.0,No,No,55.8
HH1176,Rural,Female,52,6,5,8074.0,No,No,34.7
HH1177,Urban,Male,25,9,4,23483.0,No,Yes,61.9
HH1178,Urban,Male,52,13,6,62879.0,No,No,68.0
HH1179,Urban,Male,25,10,6,61904.0,Yes,No,75.5
HH1180,Urban,Male,27,11,5,17395.0,No,Yes,50.4
HH1181,Urban,Female,53,11,6,27651.0,No,No,54.3
HH1182,Rural,Female,53,1,5,14852.0,Yes,No,36.2
HH1183,Rural,Male,34,7,4,23976.0,Yes,No,50.9
HH1184,Urban,Male,39,16,6,26083.0,No,No,72.9
HH1185,Urban,Female,64,10,5,27452.0,No,No,64.3
HH1186,Rural,Male,42,5,5,17415.0,Yes,No,61.6
HH1187,Rural,Female,74,4,7,37427.0,Yes,No,72.3
HH1188,Urban,Male,47,9,1,73191.0,Yes,No,67.2
HH1189,Rural,Female,52,4,2,22598.0,Yes,No,54.3
HH1190,Urban,Male,67,10,3,31263.0,No,Yes,55.9
HH1191,Rural,Male,49,9,4,35695.0,Yes,No,56.5
HH1192,Rural,Male,35,2,4,13859.0,Yes,No,37.9
HH1193,Urban,Male,46,14,2,26240.0,No,Yes,60.3
HH1194,Rural,Male,47,6,3,16460.0,Yes,Yes,44.3
HH1195,Rural,Male,31,8,3,21953.0,Yes,No,55.5
HH1196,Rural,Female,44,3,8,9470.0,No,Yes,26.7
HH1197,Urban,Male,39,15,7,57236.0,No,Yes,80.5
HH1198,Rural,Male,59,10,4,40829.0,No,No,58.2
HH1199,Rural,Male,48,9,4,10753.0,No,No,70.0
